sample_id	dedup_mapped_bases	avg_fragment_size	overlap_clipped_bases	minmapq20_bases
HH13a_02_CT_1_4_pe	1400041902	403.164282	1397338322	1397338322
HH13a_03_CT_1_4_pe	1450936592	402.381379	1448030624	1448030624
HH13a_04_CT_1_4_pe	1625339120	401.531117	1621816719	1621816719
HH13a_05_CT_1_4_pe	1727399044	402.914639	1724101186	1724101186
HH13a_06_CT_1_4_pe	1505320560	405.193171	1502667258	1502667258
HH13a_07_CT_1_4_pe	1563462286	402.826532	1560673926	1560673926
HH13a_08_CT_1_4_pe	1385253003	405.861631	1382774995	1382774995
HH13a_09_CT_1_4_pe	1160890259	403.380405	1158849031	1158849031
HH13a_10_CT_1_4_pe	2133425480	398.968627	2127916207	2127916207
HH13a_11_CT_1_4_pe	1401778925	403.671085	1399030286	1399030286
HH13a_12_CT_1_4_pe	1793882622	400.889069	1789924562	1789924562
