# HI	SM	HC	CS	CLP	HC_VA	SL	CL
0.000000000000000000e+00	4.275598999521520227e+00	7.099350669373059191e+02	7.080707378091124156e+02	8.134844405493840895e+02	8.776127373665974574e+02	2.504289585733568401e+03	2.626287490604529012e+03
4.275598999521520227e+00	0.000000000000000000e+00	7.069090088223499606e+02	7.053429965535867723e+02	8.105399318283652974e+02	8.750597461191073307e+02	2.500788203657007216e+03	2.622591372017223875e+03
7.099350669373059191e+02	7.069090088223499606e+02	0.000000000000000000e+00	6.668173171630255069e+01	1.055340559378461194e+02	2.035036715245279026e+02	1.808633551667567872e+03	1.947343499069987956e+03
7.080707378091124156e+02	7.053429965535867723e+02	6.668173171630255069e+01	0.000000000000000000e+00	1.171035269432415191e+02	1.744670916315313320e+02	1.830073595262750587e+03	1.975364576829085991e+03
8.134844405493840895e+02	8.105399318283652974e+02	1.055340559378461194e+02	1.171035269432415191e+02	0.000000000000000000e+00	1.194760713464599320e+02	1.713900637450383783e+03	1.858280663899609863e+03
8.776127373665974574e+02	8.750597461191073307e+02	2.035036715245279026e+02	1.744670916315313320e+02	1.194760713464599320e+02	0.000000000000000000e+00	1.691984885991870215e+03	1.849277571501939747e+03
2.504289585733568401e+03	2.500788203657007216e+03	1.808633551667567872e+03	1.830073595262750587e+03	1.713900637450383783e+03	1.691984885991870215e+03	0.000000000000000000e+00	2.435620443098545707e+02
2.626287490604529012e+03	2.622591372017223875e+03	1.947343499069987956e+03	1.975364576829085991e+03	1.858280663899609863e+03	1.849277571501939747e+03	2.435620443098545707e+02	0.000000000000000000e+00
