bamfile	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
Cv104_CHR_1_4	2.79651088812468	4.0218056350497	5.99859491074755	2.17256526189969	0	0.466194322126361
Cv150_CHR_1_4	1.64934984451535	2.51557288033577	3.79106820436374	1.23257726829787	0	0.43506203412978
