sample_seq_id	raw_reads	raw_bases	adapter_clipped_bases	qual_filtered_bases
ARN0419_030_ARN_1_1	270568	40855768	39995612	35706689
ARN0419_033_ARN_1_1	3615514	545942614	541827069	488421022
ARN0419_037_ARN_1_1	1488248	224725448	222541327	199688157
ARN0419_040_ARN_1_1	5827506	879953406	874821327	785158805
ARN0419_020_ARN_1_1	8574880	1294806880	1284065491	1154480998
ARN0419_027_ARN_1_1	8477228	1280061428	1268067545	1141528308
ARN0419_048_ARN_1_1	7532600	1137422600	1128351928	1012399557
ARN0419_049_ARN_1_1	308	46508	45631	21807
COH0419_031_COH_1_1	7009974	1058506074	1051876639	947078582
COH0419_035_COH_1_1	8715932	1316105732	1308556294	1177602459
COH0419_036_COH_1_1	7702472	1163073272	1154937479	1036561846
COH0419_037_COH_1_1	18605460	2809424460	2776716346	2490566692
COH0419_038_COH_1_1	24696812	3729218612	3698176230	3318949553
COH0419_023_COH_1_1	8066812	1218088612	1209361343	1078926925
COH0419_024_COH_1_1	8120996	1226270396	1215825897	1092146253
COH0419_026_COH_1_1	9615124	1451883724	1438201549	1287916436
COH0419_029_COH_1_1	4972338	750823038	744248732	669398414
COH0419_043_COH_1_1	212	32012	31676	17111
COH0419_047_COH_1_1	130	19630	19630	8534
HC0419_017_HC_1_1	3304420	498967420	493003460	441133964
HC0419_023_HC_1_1	38033076	5742994476	5691962694	5110134470
HC0419_030_HC_1_1	19035638	2874381338	2847630848	2565685167
HC0419_031_HC_1_1	22116866	3339646766	3305291585	2965353817
HC0419_033_HC_1_1	16880640	2548976640	2523681834	2264501098
HC0419_034_HC_1_1	24096026	3638499926	3599194315	3237210988
HC0419_035_HC_1_1	9629922	1454118222	1439304890	1293682531
HC0419_038_HC_1_1	14399620	2174342620	2152841365	1937207459
HC0419_039_HC_1_1	12265452	1852083252	1829185743	1637822506
HC0419_040_HC_1_1	10435362	1575739662	1560079058	1398598721
HC0419_041_HC_1_1	5569858	841048558	834799585	749374393
HC0419_042_HC_1_1	16530174	2496056274	2471745436	2224731176
HC0419_043_HC_1_1	4400350	664452850	657790460	590922442
HC0419_045_HC_1_1	16559052	2500416852	2478042208	2229661565
HC0419_046_HC_1_1	10746644	1622743244	1602992027	1441869649
HC0419_057_HC_1_1	10626942	1604668242	1584618542	1423070891
HC0419_058_HC_1_1	7374152	1113496952	1102964841	989703810
HC0419_059_HC_1_1	2959088	446822288	443141882	396976844
HC0419_066_HC_1_1	13145646	1984992546	1938786882	1729514013
HC0419_067_HC_1_1	6300282	951342582	942249527	845721043
NB0419_016_NB_1_1	7225408	1091036608	1080649491	969563332
NB0419_017_NB_1_1	3262156	492585556	487840551	426016597
