sample_id	mapped_bases	qual_filtered_mapped_bases
SR0719ch_017_CHR_1_2	481426130	269014184
SR0719ch_022_CHR_1_2	765610302	406689555
SR0719ch_044_CHR_1_2	516594186	287162268
SR0719ch_066_CHR_1_2	500320432	274448833
SR0719ch_074_CHR_1_2	1059615375	588034530
SR0719ch_099_CHR_1_2	783683074	435338454
SR0719ch_103_CHR_1_2	1059905295	587934433
SR0719ch_119_CHR_1_2	675301710	376455081
SR0719ch_129_CHR_1_2	723438632	405445376
SR0719ch_138_CHR_1_2	959227690	530176524
SR0719ch_147_CHR_1_2	536920972	295302225
SR0719ch_169_CHR_1_2	1044597235	582529291
SR0719ch_181_CHR_1_2	1010594252	560106771
SR0719ch_201_CHR_1_2	760808658	418973109
SR0719ch_228_CHR_1_2	560280580	308930441
SR0719ch_248_CHR_1_2	921792389	507810393
SR0719ch_317_CHR_1_2	933482391	517202990
SR0719ch_324_CHR_1_2	589365464	325142730
SR0719ch_327_CHR_1_2	9392789	4705433
SR0719ch_333_CHR_1_2	656829710	366109339
SR0719ch_336_CHR_1_2	1167530650	655246576
SR0719r_053_REF_1_2	421843649	235387679
SR0719r_277_REF_1_2	14192839	7627702
SR0719r_286_REF_1_2	275190264	152964394
SR0719r_287_REF_1_2	317550764	177506036
SR0719r_296_REF_1_2	442457747	247137702
SR0719r_302_REF_1_2	1230475498	675855534
SR0719r_306_REF_1_2	570271001	315571177
SR0719r_314_REF_1_2	1481610651	818279511
SR0719r_316_REF_1_2	1328932420	737382953
SR0719r_318_REF_1_2	1245455573	687559254
SR0719r_328_REF_1_2	537548762	298433495
SR0719r_332_REF_1_2	709355459	391721002
SR0719r_401_REF_1_2	310149949	173577663
SR0719r_402_REF_1_2	974835443	551672601
SR0719r_405_REF_1_2	459542397	255559163
SR0719r_407_REF_1_2	692354312	388667224
SR0719r_408_REF_1_2	283089743	158840864
SR0719r_409_REF_1_2	132087642	73614728
SR0719r_411_REF_1_2	60039796	34219686
SR0719r_417_REF_1_2	1196054033	675139860
Runtime: 1:32:42 (hh:mm:ss)
sample_id	mapped_bases	qual_filtered_mapped_bases
ARN0419_036_ARN_1_3	754754499	403521308
ARN0419_038_ARN_1_3	563589073	303696908
ARN0419_010_ARN_1_3	1324871668	718908617
ARN0419_023_ARN_1_3	852379972	460721115
ARN0419_025_ARN_1_3	1491742794	807890086
ARN0419_028_ARN_1_3	1434134146	769962490
ARN0419_044_ARN_1_3	1324083203	701540213
ARN0419_031_ARN_1_3	815510688	435781329
ARN0419_029_ARN_1_3	1008705868	544835442
ARN0419_001_ARN_1_3	1658827558	896705195
COH0419_032_COH_1_3	399108666	216763627
COH0419_033_COH_1_3	412646513	222661260
COH0419_039_COH_1_3	1422608785	756719470
COH0419_004_COH_1_3	1094350806	592473211
COH0419_014_COH_1_3	1473631364	800972535
COH0419_020_COH_1_3	606436481	323489113
COH0419_021_COH_1_3	1233414030	662772775
COH0419_025_COH_1_3	920201957	491383600
COH0419_009_COH_1_3	1265563322	677321236
COH0419_010_COH_1_3	1288590738	703174566
HC0419_013_HC_1_3	737974426	392672388
HC0419_014_HC_1_3	928917280	499674250
HC0419_019_HC_1_3	228554483	122308939
HC0419_028_HC_1_3	1412540028	762747724
HC0419_036_HC_1_3	605692431	329417431
HC0419_025_HC_1_3	606162801	333617773
HC0419_015_HC_1_3	575479570	306975535
NB0419_015_NB_1_3	29850593	16258518
NB0419_018_NB_1_3	920211562	497684669
NB0419_022_NB_1_3	348344200	189038866
NB0419_023_NB_1_3	285290071	154430024
NB0419_024_NB_1_3	1243783220	677563939
NB0419_028_NB_1_3	227400382	123623773
NB0419_006_NB_1_3	569643084	311330536
NB0419_007_NB_1_3	655198500	357529480
NB0419_009_NB_1_3	1000540225	539721889
NB0419_010_NB_1_3	1331263215	716739464
NB0419_012_NB_1_3	556099535	302841088
NB0419_013_NB_1_3	694803229	377850340
NB0419_014_NB_1_3	1414270801	760323290
NB0419_032_NB_1_3	826846254	444329345
NB0419_038_NB_1_3	832479390	452943467
NB0419_039_NB_1_3	850456162	458182432
NB0419_040_NB_1_3	366038561	194611777
NB0419_042_NB_1_3	487433541	262669970
NB0419_043_NB_1_3	1042986297	557788557
NB0419_044_NB_1_3	537768069	287075736
NB0419_047_NB_1_3	577207854	310198364
NB0419_048_NB_1_3	761715039	413736378
NB0419_041_NB_1_3	1122980855	608671799
SR0419_030_SR_1_3	447806489	242712450
SR0419_003_SR_1_3	1511798247	824176854
SR0419_012_SR_1_3	883062589	473097836
SR0419_016_SR_1_3	909052545	485457739
SR0419_017_SR_1_3	859878053	466714639
SR0419_018_SR_1_3	891721503	479584216
SR0419_020_SR_1_3	659703101	355219129
SR0419_022_SR_1_3	1305821519	702977589
SR0419_023_SR_1_3	1064201641	563564257
SR0419_024_SR_1_3	1504056376	812111999
SR0419_036_SR_1_3	1880304993	1005858932
SR0419_043_SR_1_3	1248101641	674550387
SR0419_044_SR_1_3	1773218526	950206712
SR0419_005_SR_1_3	466016143	251424835
SR0419_014_SR_1_3	534137196	292188283
SR0719ch_083_CHR_1_3	425304908	229997936
SR0719ch_094_CHR_1_3	489062073	260490179
SR0719ch_141_CHR_1_3	865879967	472736614
SR0719ch_236_CHR_1_3	566497453	309449990
SR0719ch_279_CHR_1_3	1182341923	630852985
SR0719ch_283_CHR_1_3	488764818	266906920
SR0719ch_064_CHR_1_3	780755434	420867608
SR0719ch_183_CHR_1_3	375523103	202952499
SR0719ch_186_CHR_1_3	480316219	260762757
SR0719ch_216_CHR_1_3	746431064	407056787
SR0719ch_218_CHR_1_3	481752896	262290800
SR0719ch_237_CHR_1_3	461576713	251374353
SR0719ch_256_CHR_1_3	579713508	312541876
SR0719ch_261_CHR_1_3	1029415592	562487175
