sample_id	dedup_mapped_bases	avg_fragment_size	overlap_clipped_bases	minmapq20_bases
HC0419_003_HC_merged	178882566	379.844641	176382480	176382480
HC0419_004_HC_merged	537715970	387.130409	534575330	534575330
HC0419_005_HC_1_2_pe	615806103	385.403882	612113350	612113350
HC0419_006_HC_merged	502287644	380.246398	499327497	499327497
HC0419_007_HC_1_4_pe	537884357	371.728038	533947324	533947324
HC0419_008_HC_merged	292794211	374.851700	290123836	290123836
HC0419_009_HC_merged	305417980	319.969137	278936827	278936827
HC0419_012_HC_merged	512779810	363.584885	503710801	503710801
HC0419_013_HC_merged	405190683	385.718394	403063176	403063176
sample_id	dedup_mapped_bases	avg_fragment_size	overlap_clipped_bases	minmapq20_bases
HC0419_014_HC_1_3_pe	467893300	385.251268	465208957	465208957
HC0419_015_HC_merged	301841261	382.369628	299556834	299556834
HC0419_016_HC_merged	449542213	373.857908	445258271	445258271
HC0419_017_HC_merged	532001163	388.846927	528946223	528946223
HC0419_019_HC_merged	363352657	390.492323	359851258	359851258
HC0419_020_HC_1_5_pe	990289473	393.938466	984600732	984600732
HC0419_022_HC_merged	445563550	361.304988	438365246	438365246
HC0419_023_HC_1_1_pe	2077276716	373.573143	2067802248	2067802248
HC0419_024_HC_merged	298599903	339.674186	282391419	282391419
HC0419_025_HC_merged	466886676	376.885356	460872917	460872917
HC0419_028_HC_1_3_pe	703155440	374.446754	691496008	691496008
HC0419_029_HC_merged	215007200	298.125866	191425414	191425414
HC0419_030_HC_1_1_pe	1078023525	373.136224	1073467572	1073467572
HC0419_031_HC_1_1_pe	1215845264	372.345383	1209809382	1209809382
HC0419_032_HC_1_2_pe	1284803418	383.359730	1276220249	1276220249
HC0419_033_HC_1_1_pe	928875854	371.073242	924607353	924607353
HC0419_034_HC_1_1_pe	1329579513	371.085331	1322494228	1322494228
HC0419_035_HC_1_1_pe	555662262	373.590830	553094965	553094965
HC0419_036_HC_merged	536317018	382.348280	530525431	530525431
HC0419_038_HC_1_1_pe	822020540	372.317671	818124454	818124454
HC0419_039_HC_1_1_pe	698692548	371.873392	694585785	694585785
HC0419_040_HC_1_1_pe	602625224	371.476347	599773229	599773229
HC0419_041_HC_merged	946584843	385.869762	942853258	942853258
HC0419_042_HC_1_1_pe	945092909	372.771832	940650759	940650759
HC0419_043_HC_merged	704268796	387.949449	700824327	700824327
HC0419_045_HC_1_1_pe	955957792	371.161180	951898951	951898951
HC0419_046_HC_1_1_pe	628223288	368.779133	624541376	624541376
HC0419_047_HC_1_2_pe	978598757	381.084050	970390241	970390241
HC0419_048_HC_1_2_pe	1033956241	373.960094	1017882592	1017882592
HC0419_057_HC_1_1_pe	611292647	367.733031	607273401	607273401
HC0419_058_HC_merged	659248667	378.225827	655956719	655956719
HC0419_059_HC_merged	727328857	392.836242	724226412	724226412
HC0419_060_HC_merged	442290932	354.765751	427803194	427803194
HC0419_062_HC_merged	514860125	372.874908	507335597	507335597
HC0419_063_HC_1_4_pe	622789247	357.249259	607708710	607708710
HC0419_064_HC_1_2_pe	911291267	380.090259	903480121	903480121
HC0419_065_HC_1_2_pe	861611337	379.109362	853388821	853388821
HC0419_066_HC_1_1_pe	737579675	363.442946	728682638	728682638
HC0419_067_HC_merged	858575142	382.628650	854032934	854032934
NB0419_001_NB_1_2_pe	710740357	376.211297	701657072	701657072
NB0419_002_NB_merged	573757283	388.597408	568758549	568758549
NB0419_003_NB_merged	562447516	375.037988	559323913	559323913
NB0419_004_NB_1_2_pe	1033753847	382.755597	1025787003	1025787003
NB0419_005_NB_merged	690622638	390.011746	685275095	685275095
NB0419_006_NB_merged	637019309	378.181738	628448598	628448598
NB0419_007_NB_merged	439232139	362.941146	426171709	426171709
NB0419_008_NB_1_1_pe	695450781	374.007256	692595132	692595132
NB0419_009_NB_1_3_pe	502526062	383.981335	499399399	499399399
NB0419_010_NB_1_3_pe	639850899	375.602213	632005673	632005673
NB0419_011_NB_1_2_pe	728556663	383.254356	722536700	722536700
sample_id	dedup_mapped_bases	avg_fragment_size	overlap_clipped_bases	minmapq20_bases
NB0419_012_NB_merged	442525870	385.234119	438869860	438869860
NB0419_013_NB_merged	473685299	386.518957	470022264	470022264
NB0419_014_NB_1_3_pe	708939097	374.063257	699125687	699125687
NB0419_016_NB_merged	631876126	383.765583	628958805	628958805
