prefix	lane_number	seq_id	sample_id	population	data_type
COH0419_007_COH_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	COH0419_007	COH	pe
COH0419_009_COH_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	COH0419_009	COH	pe
COH0419_010_COH_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	COH0419_010	COH	pe
COH0419_011_COH_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	COH0419_011	COH	pe
COH0419_013_COH_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	COH0419_013	COH	pe
COH0419_014_COH_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	COH0419_014	COH	pe
COH0419_015_COH_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	COH0419_015	COH	pe
COH0419_016_COH_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	COH0419_016	COH	pe
COH0419_017_COH_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	COH0419_017	COH	pe
COH0419_018_COH_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	COH0419_018	COH	pe
COH0419_019_COH_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	COH0419_019	COH	pe
COH0419_020_COH_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	COH0419_020	COH	pe
COH0419_021_COH_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	COH0419_021	COH	pe
COH0419_022_COH_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	COH0419_022	COH	pe
COH0419_023_COH_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	COH0419_023	COH	pe
COH0419_024_COH_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	COH0419_024	COH	pe
COH0419_025_COH_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	COH0419_025	COH	pe
COH0419_026_COH_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	COH0419_026	COH	pe
COH0419_027_COH_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	COH0419_027	COH	pe
COH0419_029_COH_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	COH0419_029	COH	pe
COH0419_030_COH_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	COH0419_030	COH	pe
COH0419_031_COH_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	COH0419_031	COH	pe
COH0419_032_COH_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	COH0419_032	COH	pe
COH0419_033_COH_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	COH0419_033	COH	pe
COH0419_034_COH_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	COH0419_034	COH	pe
COH0419_035_COH_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	COH0419_035	COH	pe
COH0419_036_COH_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	COH0419_036	COH	pe
COH0419_037_COH_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	COH0419_037	COH	pe
COH0419_038_COH_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	COH0419_038	COH	pe
COH0419_039_COH_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	COH0419_039	COH	pe
COH0419_041_COH_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	COH0419_041	COH	pe
COH0419_042_COH_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	COH0419_042	COH	pe
COH0419_043_COH_1_5_pe_bt2_CV30_masked_minq20_sorted.bam	5	1	COH0419_043	COH	pe
COH0419_044_COH_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	COH0419_044	COH	pe
COH0419_045_COH_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	COH0419_045	COH	pe
COH0419_046_COH_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	COH0419_046	COH	pe
COH0419_047_COH_1_5_pe_bt2_CV30_masked_minq20_sorted.bam	5	1	COH0419_047	COH	pe
COH0419_048_COH_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	COH0419_048	COH	pe
HC0419_003_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_003	HC	pe
HC0419_004_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_004	HC	pe
HC0419_005_HC_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	HC0419_005	HC	pe
HC0419_006_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_006	HC	pe
HC0419_007_HC_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HC0419_007	HC	pe
HC0419_008_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_008	HC	pe
HC0419_009_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_009	HC	pe
HC0419_012_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_012	HC	pe
HC0419_013_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_013	HC	pe
HC0419_014_HC_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	HC0419_014	HC	pe
HC0419_015_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_015	HC	pe
HC0419_016_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_016	HC	pe
HC0419_017_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_017	HC	pe
HC0419_019_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_019	HC	pe
HC0419_020_HC_1_5_pe_bt2_CV30_masked_minq20_sorted.bam	5	1	HC0419_020	HC	pe
HC0419_022_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_022	HC	pe
HC0419_023_HC_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	HC0419_023	HC	pe
HC0419_024_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_024	HC	pe
HC0419_025_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_025	HC	pe
HC0419_028_HC_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	HC0419_028	HC	pe
HC0419_029_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_029	HC	pe
HC0419_030_HC_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	HC0419_030	HC	pe
HC0419_031_HC_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	HC0419_031	HC	pe
HC0419_032_HC_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	HC0419_032	HC	pe
HC0419_033_HC_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	HC0419_033	HC	pe
HC0419_034_HC_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	HC0419_034	HC	pe
HC0419_035_HC_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	HC0419_035	HC	pe
HC0419_036_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_036	HC	pe
HC0419_038_HC_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	HC0419_038	HC	pe
HC0419_039_HC_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	HC0419_039	HC	pe
HC0419_040_HC_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	HC0419_040	HC	pe
HC0419_041_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_041	HC	pe
HC0419_042_HC_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	HC0419_042	HC	pe
HC0419_043_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_043	HC	pe
HC0419_045_HC_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	HC0419_045	HC	pe
HC0419_046_HC_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	HC0419_046	HC	pe
HC0419_047_HC_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	HC0419_047	HC	pe
HC0419_048_HC_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	HC0419_048	HC	pe
HC0419_057_HC_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	HC0419_057	HC	pe
HC0419_058_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_058	HC	pe
HC0419_059_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_059	HC	pe
HC0419_060_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_060	HC	pe
HC0419_062_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_062	HC	pe
HC0419_063_HC_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	HC0419_063	HC	pe
HC0419_064_HC_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	HC0419_064	HC	pe
HC0419_065_HC_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	HC0419_065	HC	pe
HC0419_066_HC_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	HC0419_066	HC	pe
HC0419_067_HC_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	HC0419_067	HC	pe
NB0419_001_NB_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	NB0419_001	NB	pe
