FID	IID	CLUSTER
250	SR0719ch_099	19 Surv.
251	SR0719ch_103	19 Surv.
252	SR0719ch_112	19 Surv.
253	SR0719ch_119	19 Surv.
254	SR0719ch_123	19 Surv.
255	SR0719ch_129	19 Surv.
256	SR0719ch_131	19 Surv.
257	SR0719ch_138	19 Surv.
258	SR0719ch_140	19 Surv.
259	SR0719ch_141	19 Surv.
260	SR0719ch_147	19 Surv.
261	SR0719ch_155	19 Surv.
262	SR0719ch_169	19 Surv.
263	SR0719ch_181	19 Surv.
264	SR0719ch_183	19 Surv.
265	SR0719ch_186	19 Surv.
266	SR0719ch_201	19 Surv.
267	SR0719ch_216	19 Surv.
268	SR0719ch_218	19 Surv.
269	SR0719ch_228	19 Surv.
270	SR0719ch_232	19 Surv.
271	SR0719ch_236	19 Surv.
272	SR0719ch_237	19 Surv.
273	SR0719ch_248	19 Surv.
274	SR0719ch_256	19 Surv.
275	SR0719ch_258	19 Surv.
276	SR0719ch_261	19 Surv.
277	SR0719ch_279	19 Surv.
278	SR0719ch_283	19 Surv.
279	SR0719ch_294	19 Surv.
280	SR0719ch_317	19 Surv.
281	SR0719ch_324	19 Surv.
282	SR0719ch_333	19 Surv.
283	SR0719ch_336	19 Surv.
284	SR0719r_014	19 Ref
285	SR0719r_034	19 Ref
286	SR0719r_051	19 Ref
287	SR0719r_053	19 Ref
288	SR0719r_056	19 Ref
289	SR0719r_061	19 Ref
290	SR0719r_075	19 Ref
291	SR0719r_095	19 Ref
292	SR0719r_193	19 Ref
293	SR0719r_257	19 Ref
294	SR0719r_260	19 Ref
295	SR0719r_265	19 Ref
296	SR0719r_266	19 Ref
297	SR0719r_276	19 Ref
298	SR0719r_277	19 Ref
299	SR0719r_286	19 Ref
300	SR0719r_287	19 Ref
301	SR0719r_295	19 Ref
302	SR0719r_296	19 Ref
303	SR0719r_302	19 Ref
304	SR0719r_306	19 Ref
305	SR0719r_314	19 Ref
306	SR0719r_316	19 Ref
307	SR0719r_318	19 Ref
308	SR0719r_328	19 Ref
309	SR0719r_332	19 Ref
310	SR0719r_401	19 Ref
311	SR0719r_402	19 Ref
312	SR0719r_403	19 Ref
313	SR0719r_404	19 Ref
314	SR0719r_405	19 Ref
315	SR0719r_406	19 Ref
316	SR0719r_407	19 Ref
317	SR0719r_408	19 Ref
318	SR0719r_409	19 Ref
319	SR0719r_410	19 Ref
320	SR0719r_411	19 Ref
321	SR0719r_414	19 Ref
322	SR0719r_415	19 Ref
323	SR0719r_417	19 Ref
324	SR0719r_418	19 Ref
325	SR0719r_419	19 Ref
326	SR0719r_420	19 Ref
327	SR0719r_422	19 Ref
328	SR0719r_424	19 Ref
329	SR0719r_425	19 Ref
330	SR0719r_426	19 Ref
331	SR0719r_427	19 Ref
332	Cv102_REF	19 Ref
333	Cv104_CHR	20 Surv.
334	Cv105_REF	20 Ref
335	Cv112_REF	20 Ref
336	Cv115_CHR	20 Surv.
337	Cv121_CHR	20 Surv.
338	Cv125_CHR	20 Surv.
339	Cv128_CHR	20 Surv.
340	Cv129_CHR	20 Surv.
341	Cv133_REF	20 Ref
342	Cv135_REF	20 Ref
343	Cv136_CHR	20 Surv.
344	Cv139_CHR	20 Surv.
345	Cv142_CHR	20 Surv.
346	Cv147_REF	20 Ref
347	Cv150_CHR	20 Surv.
348	Cv15_CHR	20 Surv.
349	Cv161_REF	20 Ref
350	Cv162_CHR	20 Surv.
351	Cv164_CHR	20 Surv.
352	Cv165_CHR	20 Surv.
353	Cv169_REF	20 Ref
354	Cv171_REF	20 Ref
355	Cv174_REF	20 Ref
356	Cv178_REF	20 Ref
357	Cv179_CHR	20 Surv.
358	Cv180_CHR	20 Surv.
359	Cv181_REF	20 Ref
360	Cv183_REF	20 Ref
361	Cv188_CHR	20 Surv.
362	Cv193_REF	20 Ref
363	Cv194_REF	20 Ref
364	Cv199_CHR	20 Surv.
365	Cv19_CHR	20 Surv.
366	Cv203_REF	20 Ref
367	Cv209_REF	20 Ref
368	Cv20_REF	20 Ref
369	Cv213_REF	20 Ref
370	Cv216_CHR	20 Surv.
371	Cv218_REF	20 Ref
372	Cv220_CHR	20 Surv.
373	Cv226_REF	20 Ref
374	Cv230_CHR	20 Surv.
375	Cv240_CHR	20 Surv.
376	Cv241_CHR	20 Surv.
377	Cv242_CHR	20 Surv.
378	Cv243_REF	20 Ref
379	Cv247_CHR	20 Surv.
380	Cv249_CHR	20 Surv.
381	Cv257_REF	20 Ref
382	Cv259_CHR	20 Surv.
383	Cv261_REF	20 Ref
384	Cv263_CHR	20 Surv.
385	Cv268_REF	20 Ref
386	Cv270_CHR	20 Surv.
387	Cv275_REF	20 Ref
388	Cv277_CHR	20 Surv.
389	Cv278_REF	20 Ref
390	Cv279_CHR	20 Surv.
391	Cv27_REF	20 Ref
392	Cv283_REF	20 Ref
393	Cv28_CHR	20 Surv.
394	Cv290_CHR	20 Surv.
395	Cv294_CHR	20 Surv.
396	Cv295_REF	20 Ref
397	Cv299_CHR	20 Surv.
398	Cv300_CHR	20 Surv.
399	Cv301_REF	20 Ref
400	Cv304_CHR	20 Surv.
401	Cv305_REF	20 Ref
402	Cv311_CHR	20 Surv.
403	Cv315_REF	20 Ref
404	Cv316_CHR	20 Surv.
405	Cv318_CHR	20 Surv.
406	Cv321_REF	20 Ref
407	Cv326_CHR	20 Surv.
408	Cv328_REF	20 Ref
409	Cv330_REF	20 Ref
410	Cv331_CHR	20 Surv.
411	Cv332_REF	20 Ref
412	Cv33_REF	20 Ref
413	Cv348_CHR	20 Surv.
414	Cv35_REF	20 Ref
415	Cv39_REF	20 Ref
416	Cv41_CHR	20 Surv.
417	Cv42_REF	20 Ref
418	Cv44_CHR	20 Surv.
419	Cv47_CHR	20 Surv.
420	Cv50_REF	20 Ref
421	Cv54_REF	20 Ref
422	Cv56_CHR	20 Surv.
423	Cv5_REF	20 Ref
424	Cv63_REF	20 Ref
425	Cv64_REF	20 Ref
426	Cv68_REF	20 Ref
427	Cv69_REF	20 Ref
428	Cv72_CHR	20 Surv.
429	Cv76_REF	20 Ref
430	Cv78_CHR	20 Surv.
431	Cv82_REF	20 Ref
432	Cv87_CHR	20 Surv.
