bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
Cv5785	1.86172964186222	2.78640790243981	4.16031435549452	1.46052762750918	0	0.447497348224131
Cv5785	2.00100053870401	2.96579195938602	4.42651290843512	1.49464349186506	0	0.452048955937696
Cv5785	2.32029604478686	3.40373761187845	5.06782815743779	1.88946224388529	0	0.457848208878144
Cv5785	0.486338482358668	0.958700540718884	1.73031586217904	0.32559909175921	0	0.281069192619024
Cv5785	2.05537591572738	3.0521104776081	4.55642698985107	1.6511355671867	0	0.4510937891261
Cv5785	2.39719375816336	3.58245691820142	5.22297232192798	1.86125769909769	0	0.458971177790857
Cv5785	1.96240484330942	2.97095470680527	4.41105724670857	1.45284747089621	0	0.444883104787011
Cv5785	0.549752466453208	1.0371807857748	1.83048887362445	0.344185411406724	0	0.300330952225204
Cv5785	1.94861279750697	2.93483145445072	4.37032459935735	1.45638203820675	0	0.445873699585926
Cv5785	1.65643691552883	2.56082616008186	3.83707831855714	1.21184657299244	0	0.431692235083621
Cv5785	2.4476715615091	3.59473756361602	5.3281393559991	1.89269108220807	0	0.459385800176443
Cv5785	1.97309749736603	2.98175375346929	4.40818776170828	1.45921980927508	0	0.447598333833396
Cv5785	3.03962286313641	4.40474348844035	6.43949098959666	2.3852191738923	0	0.472028436416631
Cv5785	1.49316056417837	2.32045050637477	3.50562903702519	1.17415895259587	0	0.425932278745786
Cv5785	1.25115170531956	2.01107717998659	3.09196368345022	0.949334375346216	0	0.404646313285274
Cv5785	2.58989050968853	3.76687842056998	5.55840145460562	2.11317594123601	0	0.465941607643582
Cv5785	4.31080562755525	6.10341751475176	8.90171691320126	3.57606192148435	0	0.484266762197465
Cv5785	2.00933117018701	2.98229006543703	4.47418573574888	1.47742691140017	0	0.449094268513107
Cv5785	1.91634903227297	2.89005829432491	4.29354113239671	1.457371498777	0	0.446332985565897
Cv5785	4.40525111265198	6.1077667826199	9.02768224070655	3.61905990478849	0	0.48797144108452
Cv5785	2.95194395567105	4.25786143232782	6.25677474354975	2.37095220432617	0	0.471799621476804
Cv5785	1.64912190728043	2.51602942645356	3.77484700729375	1.23326594621191	0	0.436871190830529
Cv5785	1.08701866671036	1.7917507062273	2.76934467126775	0.76916616776647	0	0.39251837374664
Cv5785	3.01053459286317	4.36627306692365	6.39215958618366	2.38664548803891	0	0.470973002515485
Cv5785	2.42572083533289	3.53752722317794	5.27284342916596	1.89722084628791	0	0.46004036871581
Cv5785	1.81402475359928	2.75738211207004	4.1257656854187	1.41915227325529	0	0.439681962553299
Cv5785	1.94403064540241	3.01130353557016	4.31880577037375	1.44319666323788	0	0.45013152912293
Cv5785	2.08798545251027	3.11973197898084	4.60903475825862	1.66361599986943	0	0.453020114194163
Cv5785	2.52451322888987	3.7181192508042	5.46958153277717	1.91883753245519	0	0.461555095898957
Cv5785	3.48266529712366	4.92266046414186	7.26538352139721	2.84996267839884	0	0.479350510109859
Cv5786	1.34141010002205	2.1142074500488	3.22000461448675	0.992359476144935	0	0.416586390587013
Cv5786	2.06496983338841	3.09555663601225	4.56101540734275	1.66030864683536	0	0.452743446133412
