bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
HH13a	2.3108098130781	3.41385692218298	5.05681594541253	1.87049219841024	0	0.456969333672038
HH13a	2.03279572977603	3.05047872490967	4.53409958010046	1.63855042823739	0	0.448335042903981
HH13a	2.10653738035694	3.12597122364685	4.6453281189527	1.67441401149156	0	0.453474399744249
HH13a	2.35934761027004	3.46520534507107	5.14652765839816	1.89600682052703	0	0.458434845175533
HH13a	2.50813655814108	3.68743911918492	5.44177857144144	1.91793536385245	0	0.460903824956166
HH13a	2.18600031864899	3.23323149093314	4.79779779909401	1.68169990408682	0	0.455625770444447
HH13a	2.27036555922902	3.38024223111647	4.97702515898974	1.84026505880409	0	0.45616919479094
HH13a	2.01153632471794	3.03274356699744	4.48361234621773	1.62041951007583	0	0.448641891713565
HH13a	1.68578645096288	2.61675509469924	3.88922683447584	1.20933863071171	0	0.433450277577017
HH13a	3.09556449046546	4.46109555817205	6.5519472221851	2.56461415328886	0	0.472464808627648
HH13a	2.03523648574999	3.04826466516212	4.51621749570801	1.64548944723124	0	0.450650680062553
HH13a	2.60389029092946	3.80596488049408	5.61514124466446	2.10483098911821	0	0.463726588071982
HH13a	2.61950527382554	3.84045202914345	5.66489242819313	2.1058990052328	0	0.462410417678314
HH13a	2.83142085340052	4.16458730896435	6.08269391235264	2.30869810093686	0	0.465487971974133
HH13a	2.59002818069182	3.8670105884571	5.62012421576052	2.06739964221963	0	0.460848920995439
HH13a	1.35149462790762	2.13928909543325	3.24924492736371	0.989708950733359	0	0.415941136516631
HH13a	2.01792670324445	3.05451338534685	4.50499990525444	1.62495936424894	0	0.447930465190343
HH13a	2.03636256824852	3.03287965283601	4.5168125405047	1.65975528339514	0	0.450840620457079
HH13a	3.43906334774656	4.90209029395001	7.22080724768995	2.82186099915097	0	0.476271312857375
HH13a	2.94752882289469	4.24572609162807	6.26110639095948	2.37252145335533	0	0.470768046227245
HH13a	2.34688963651544	3.43750372616603	5.12235950611097	1.90094402329532	0	0.458165740557065
HH13a	3.57866241678592	5.06878176506603	7.45678811912104	2.89437231585638	0	0.479920088866051
HH13a	3.65389667670376	5.14709772345789	7.59037012765408	2.91350472923893	0	0.481385836955306
HH13a	3.27438709070731	4.6488676930814	6.85398103156649	2.65514291908039	0	0.477735067492543
HH13a	1.49607131090808	2.3642624470777	3.52801699865034	1.16157958770445	0	0.42405445083766
