prefix	lane_number	seq_id	sample_id	population	data_type
Cv270_CKDL210000056-1a-AK11332-AK12653_HNMTKDSXY_L4	4	1	Cv270	NA	pe
Cv275_CKDL210000056-1a-AK11196-AK11525_HNMTKDSXY_L4	4	1	Cv275	NA	pe
Cv277_CKDL210000056-1a-AK11331-AK6117_HNMTKDSXY_L4	4	1	Cv277	NA	pe
Cv278_CKDL210000056-1a-AK11263-AK17119_HNMTKDSXY_L4	4	1	Cv278	NA	pe
Cv279_CKDL210000056-1a-AK5781-7UDI1504_HNMTKDSXY_L4	4	1	Cv279	NA	pe
Cv27_CKDL210000056-1a-AK12636-AK11392_HNMTKDSXY_L4	4	1	Cv27	NA	pe
Cv283_CKDL210000056-1a-AK9674-AK4547_HNMTKDSXY_L4	4	1	Cv283	NA	pe
Cv28_CKDL210000056-1a-AK17024-AK11623_HNMTKDSXY_L4	4	1	Cv28	NA	pe
Cv290_CKDL210000056-1a-AK11279-AK12787_HNMTKDSXY_L4	4	1	Cv290	NA	pe
Cv294_CKDL210000056-1a-AK11290-AK17125_HNMTKDSXY_L4	4	1	Cv294	NA	pe
Cv295_CKDL210000056-1a-AK9081-AK17121_HNMTKDSXY_L4	4	1	Cv295	NA	pe
Cv299_CKDL210000056-1a-AK11253-AK17126_HNMTKDSXY_L4	4	1	Cv299	NA	pe
Cv300_CKDL210000056-1a-AK5729-AK11176_HNMTKDSXY_L4	4	1	Cv300	NA	pe
Cv301_CKDL210000056-1a-AK11313-AK12644_HNMTKDSXY_L4	4	1	Cv301	NA	pe
Cv304_CKDL210000056-1a-AK529-AK11213_HNMTKDSXY_L4	4	1	Cv304	NA	pe
Cv305_CKDL210000056-1a-AK11110-AK11165_HNMTKDSXY_L4	4	1	Cv305	NA	pe
Cv311_CKDL210000056-1a-AK11286-AK12642_HNMTKDSXY_L4	4	1	Cv311	NA	pe
Cv315_CKDL210000056-1a-AK12652-AK6706_HNMTKDSXY_L4	4	1	Cv315	NA	pe
Cv316_CKDL210000056-1a-AK1874-AK17128_HNMTKDSXY_L4	4	1	Cv316	NA	pe
Cv318_CKDL210000056-1a-AK11275-AK17129_HNMTKDSXY_L4	4	1	Cv318	NA	pe
